Category,Metric,Seasonal Naive,ETS
FOODS,RMSE,4.052435541801904,3.0389246824582794
FOODS,MAE,2.0607664777810917,1.544923966235208
FOODS,MAPE,93.13491834029843,67.83073087914899
FOODS,Bias,0.017621035888259272,0.09721563163318514
HOBBIES,RMSE,3.0924953000423168,2.3345847098363612
HOBBIES,MAE,1.1632743362831859,0.9497571865500065
HOBBIES,MAPE,94.67822931729131,71.39213959172253
HOBBIES,Bias,0.009544879898862199,0.004194867811865834
HOUSEHOLD,RMSE,2.023256447666049,1.4841330610673726
HOUSEHOLD,MAE,1.0283462955382727,0.8135238263540564
HOUSEHOLD,MAPE,83.69440396549635,61.45741148093086
HOUSEHOLD,Bias,-0.034486287351616865,-0.0018818161783061074
